qBF1Pd,MW4etd,UY7F9,AJB7ye,AJB7ye 2,W4Efsd,W4Efsd 2,W4Efsd 3,W4Efsd 4,W4Efsd 5,ah5Ghc,M4A5Cf,ah5Ghc 2,M4A5Cf 2,ah5Ghc 3,J8zHNe,bbPy1
Star Coffee Bar,4.9,-10,,,Coffee shop,·,"14-341/3, near Govt Hospital",Open,· Closes 10 pm,Dine-in,·,Takeaway,,,,
Café Coffee Day,3.8,"-4,328",·,?200400,Cafe,·,"No. 476 And 407/2, Chittor Panchayati Kukkalapalli Village, Taluk",Open,· Closes 12 am,Dine-in,·,Drive-through,·,No-contact delivery,,
NYT Cafe,4.6,-144,·,?200400,Pizza,,,Closed,· Opens 11:30 am,Dine-in,·,Drive-through,·,No-contact delivery,Order online,?
Chitra coffee bar,4.3,-56,·,?1200,Coffee shop,·,"Site no.,1, opp. chittoor prakruthi nursery",Open,· Closes 9 pm,Dine-in,·,Takeaway,,,,
Cothas Coffee - Coffee Shop - Kondamitta - Chittoor,4.5,-11,,,Coffee shop,·,·,Open,· Closes 8 pm,Dine-in,·,Takeaway,·,Delivery,Order online,?
Sri Ganapathi Cafe,4.2,-221,·,?1800,Indian,·,"2-17, 2-17, Puttur Rd",Open,· Closes 10:30 pm,Dine-in,·,Takeaway,,,Order online,?
Hot 'N' Chill Cafe,4.1,-41,,,Andhra,·,near Union Bank,Opens soon,· 11 am,Dine-in,·,Drive-through,·,No-contact delivery,,
Chitra Coffee Bar,4.2,-12,·,?1200,Coffee shop,·,"11-457, near OTK Road, beside Gurunatha theatre",Open,· Closes 8:30 pm,Dine-in,·,Takeaway,,,,
Chitra coffee bar,4.4,-21,·,?1200,Cafe,·,"32-745, opp. HP petrol pump",Open,· Closes 9 pm,Dine-in,·,Kerbside pickup,·,No-contact delivery,Order online,?
Tabun Chai,4.3,-40,·,?1200,Coffee shop,·,"4-421, CB Rd, opp. SBI bank",Open,· Closes 9 pm,Dine-in,·,Takeaway,,,,
Corner Café and Restaurant,4.1,-81,·,?1200,Restaurant,·,·,Open,· Closes 10 pm,Dine-in,·,Drive-through,·,No-contact delivery,,
MUNNA BHAI CAFE,4.2,-11,,,Cafe,·,"Government Hospital, road, opposite fish market",Open,· Closes 9:30 pm,Dine-in,·,Takeaway,·,No-contact delivery,,
Bestow Juice cafe,4.1,-69,·,?1200,Cafe,·,"sai Gk nagar, New Collector Office Back side, 25-527-2E, Vellore Rd",Open 24 hours,,Dine-in,·,Takeaway,·,Delivery,,
Cafe Center,3.5,-280,·,?1200,Cafe,·,74JC+MJC,Open 24 hours,,Dine-in,·,Takeaway,,,,
SASH Sports Cafe,4.4,-61,,,Cafe,·,"32-1, Bengaluru - Tirupati Hwy",Closed,· Opens 11:30 am,"""They prepare their own bread with unique recepie.""",,,,,,
THE DESTINI RESTAURANT,4.4,-190,·,?1200,Cafe,·,·,Open,· Closes 11:30 pm,Dine-in,·,Takeaway,,,Order online,?
Daan Cafe,2.5,-2,,,Coffee shop,·,637Q+HMC,Closed,· Opens 3 pm,Dine-in,,,,,,
Cafe Coffee Day,3.9,-457,·,?200400,Coffee shop,·,"5VQ8+J3M, Bengaluru - Tirupati Hwy",Open 24 hours,,Dine-in,·,Takeaway,,,,
Mama &macha Cafe,5.0,-4,,,Coffee shop,·,"45 Tirupathi Rd, Prakasam High Rd, near Court",Open,· Closes 1:30 pm · Reopens 3 pm,Dine-in,·,Takeaway,,,,
R R R HOTEL CAFE,4.2,-40,·,?1200,Cafe,·,Bengaluru - Tirupati Hwy,Open 24 hours,,Dine-in,·,Drive-through,,,,
CHAI CUPP,4.3,-39,,,Coffee shop,·,Kothakota,Open,· Closes 12 am,Dine-in,·,Drive-through,,,,
Rusi Bakery,4.0,-193,·,?1200,Breakfast,·,"4-2037/5, Vellore Rd, opposite to Durgamma Temple",Open,· Closes 9 pm,Delivery,,,,,Order online,?
GARUDA FAMILY DABA AND CAFE,4.1,-225,·,?1200,Family-friendly,·,·,Open 24 hours,,Dine-in,·,Takeaway,·,No delivery,,
PSR FILTER COFFEE AND TEA,3.7,-71,·,?1200,Coffee shop,·,Lakshmipuram,Open 24 hours,,Dine-in,·,Drive-through,·,No delivery,,
Tea Day,4.5,-22,·,?1200,Cafe,·,"Vinayaka Complex, Banglore-Tirupathi, Chittoor By-Pass Junction, Gandla Kothur, Yadamari Mandal, 6, Lane Bypass Road",,,Dine-in,·,Drive-through,,,,
Tabun Multicuisine Restaurant,3.9,"-1,846",·,?200600,Restaurant,·,·,Closed,· Opens 11:30 am,Dine-in,·,Drive-through,·,No-contact delivery,Order online,?
Bonda Soup & Coffee,4.5,-10,,,Cafe,·,"935M+WG5, Puthalapattu - Naidupeta Rd",,,Drive-through,,,,,,
Phoenix Resto,4.3,-75,·,?1200,Restaurant,·,"14-907/A, Palmener Road, near Cm Kalayanamadapam",Closed,· Opens 12 pm,Dine-in,·,Takeaway,·,No-contact delivery,Order online,?
Way To Food Restaurant,4.4,-242,·,?1200,Chinese,·,"Way To food, Near Flower Market, near CKN office",Closed,· Opens 11:30 am Tue,Dine-in,·,Drive-through,·,No-contact delivery,Order online,?
Mom's Kitchen Chittoor Mini Restaurant (Nobody Can Better' Than MoMBest Kabobs in Chittoor (KabobWalaa Chittoor),4.6,-33,·,?1800,Restaurant,·,"Masjid, near by Santhapet",Open,· Closes 10:30 pm,Dine-in,·,Drive-through,·,Delivery,,
SWARAJ DHABA & RESTAURANT,4.4,-42,·,?200400,Restaurant,·,"GVVV+5HP, Punganur - Tirupathi Rd",Closed,· Opens 11:30 am,Dine-in,·,Drive-through,,,,
Chitra Coffee Bar Chittoor Gate,4.3,-12,·,?1200,Coffee shop,·,XV59+8CG,Open,· Closes 9 pm,Dine-in,·,Takeaway,,,,
Taj Cafe Nimanapalli Katta,4.5,-2,,,Coffee shop,·,"Mubarak Taj Cafe, Syed Sahab Katta",,,Dine-in,,,,,,
Sri Vishnu Bhavan,3.8,"-7,715",·,?1200,Breakfast,·,·,Open,· Closes 11 pm,Dine-in,·,Takeaway,·,No-contact delivery,Order online,?
Coffee cafe,,,,,Coffee shop,·,tirupati road,Closed,· Opens 5:30 am Tue,Dine-in,·,Takeaway,,,,
COFFEE EXPRESS,4.2,-19,,,Cafe,,,Open,· Closes 10 pm,Dine-in,·,Drive-through,,,,
Andhra Spice,3.9,"-1,510",·,?200400,Non Vegetarian Restaurant,·,"RR complex, Dargah chowk, beside RTC Bus depot",Opens soon,· 11 am,Dine-in,·,Drive-through,·,No-contact delivery,Order online,?
Nandi Food Plaza - Function Hall A/C,3.8,"-19,650",·,??,Restaurant,·,,Open,· Closes 11:30 pm,Dine-in,·,Drive-through,,,,
Sunny Cafe,3.8,-65,·,?1200,Cafe,·,Central Expy,Open,· Closes 10:30 pm,Dine-in,·,Drive-through,·,No-contact delivery,,
Darling s cafe,5.0,-1,,,Coffee shop,·,"JXR3+5XR, Kurnool - Chittoor Nat'l Hwy",,,Dine-in,,,,,,
Jo cafe,,,,,Cafe,·,"1-1, opp. venkusa kalyana mandapam",Open,· Closes 9 pm,Dine-in,,,,,,
Obhu cafe & Restaurant,4.9,-9,·,?400600,Restaurant,·,"Kadapa - Chittoor Hwy, near shafi paradise",Open,· Closes 11 pm,Dine-in,·,Takeaway,,,,
Classic Rider Cafe,4.4,-10,·,?1600,Cafe,·,"12, Kallur - Rompicherla Rd",,,Dine-in,·,Takeaway,·,Delivery,,
Café Coffee Day,4.1,"-1,420",·,?200400,Cafe,·,"HPCL Dealers, sy no.445,445/3-c3,657/1-b,656/2,649/1, NH 16",Open,· Closes 11:59 pm,Delivery,,,,,,
TEA DEN COFFEE SHOP,5.0,-2,,,Coffee shop,·,"HQ3F+MCW, Kalakada - Somala Rd",,,"""Very excellent performance""",,,,,,
The Coffee Shop,4.3,-28,,,Cafe,·,X934+36R,Open,· Closes 10:30 pm,Dine-in,·,Drive-through,,,,
Red Bucket Biryani | Chittoor,3.9,-104,·,?200400,Restaurant,·,"Revenue ward-2, 2-12/5, Officers Lane, opp. Collector Bungalow",Closed,· Opens 12 pm,Takeaway,·,Delivery,,,Order online,?
Hotel Sapthagiri Holiday Resorts,3.9,"-5,294",·,?1200,Indian,·,·,Open,· Closes 11 pm,"""Delicious food",,Coffee,,"and Fresh Juice ??""",,
SK CAFE,4.8,-9,,,Coffee shop,·,"11, Ganganapalli Rd",,,"""Taste it and feel it""",,,,,,
KFC,4.1,"-3,430",·,"?2001,000",Restaurant,·,·,Opens soon,· 11 am,No-contact delivery,·,No dine-in,·,No takeaway,Order online,?
ROWDY MOMO`S CAFE,4.1,-11,·,?1200,Momo restaurant,·,"Bengaluru - Tirupati Hwy, beside kalaibala kalyana mandapam",,,"""Good and decent momos pizza are good need improve""",,,,,,
Dvaita Tea Cafe,4.7,-12,,,Cafe,·,"980, Kamalamba St",,,,,,,,,
Cafe chintu,,,,,Food court,,,Closed,· Opens 12 am Sat,,,,,,,
"My Album Zone, Chittoor",4.9,-268,,,Gift shop,·,"Bus Stand, Shop No:55, Ground Floor, ASM Complex, Block No:2 RTC",Open,· Closes 8:30 pm,In-store shopping,·,Delivery,,,,
Lava's Kitchen,5.0,-2,,,Restaurant,·,"1-13, Kalikiri  Kanduru Road",Open,· Closes 8:30 pm,Dine-in,·,Takeaway,,,,
Mee Mithra Cafe,,,,,Cafe,,,,,,,,,,,
Chai Duniya sadum,5.0,-2,,,Coffee shop,·,Kallur road,Open,· Closes 8 pm,Dine-in,,,,,,
Paradice cafe,,,,,Cafe,·,Kandur Road,,,,,,,,,
Syed cafe & Restaurant,,,,,Food court,·,"Kadapa - Chittoor Hwy, near HIGHWAY",,,,,,,,,
Sai fast food centre,4.8,-33,,,Fast Food,·,"College Rd, beside Veterinary Hospital",Closed,· Opens 2 pm,Dine-in,·,Drive-through,·,Delivery,,
SRI RAMA INTERNET & XEROX,4.5,-14,,,Internet cafe,·,"Shop No-1, GVR Store, Bus Stand, D No: 4-446, Punganur - Tirupathi Rd, beside Police Station",Open,· Closes 8:30 pm,,,,,,,
Chicken Center,4.3,-10,,,Restaurant,·,"Shop 3, Chowdepalle - Kallu Palli Rd",,,Dine-in,·,Drive-through,,,,
HOTEL PARAMESHWARA,5.0,-2,,,Indian,·,GVVV+5P6,Open 24 hours,,,,,,,,
ganesh mess,4.1,-22,·,?1200,Restaurant,·,"GWW5+M9J, Punganur - Tirupathi Rd",Open,· Closes 9 pm,Dine-in,·,Takeaway,,,,
Janani foods,5.0,-5,,,Restaurant,·,"PLR complex, Kallur road, next to Chai Duniya",Open,· Closes 7 pm,Dine-in,·,Takeaway,,,,
Sadum Old Indian Bank,3.7,-111,·,?,Indian,·,"GWW5+MRV, Punganur - Tirupathi Rd",Open,· Closes 4 pm,Dine-in,·,Drive-through,,,,
AVM FAMILY DHABA,4.5,-28,·,"?2001,000",Indian,·,GV65+F4,Open 24 hours,,Dine-in,,,,,,
Irala Jilledubugga Waterfalls,4.4,-119,,,Tourist attraction,·,·,Open,· Closes 5 pm,"""Beautiful location with family and family""",,,,,,
SIVASANKAR cooldrink&xerox,4.2,-10,,,Cafe,,,,,,,,,,,
Star family Restaurant,,,,,Restaurant,·,Sodam-Piler-Tirupati Rd,,,Dine-in,·,Takeaway,,,,
Mastan Tiffen,3.7,-11,,,Indian,·,GWW2+8RG,,,Dine-in,·,Takeaway,,,,
LEO'S CAFE,4.3,-22,,,Cafe,·,Court Centre Rd,Open,· Closes 10 pm,Dine-in,·,Takeaway,,,,
Bismillah A1 Biryani Centre,4.0,-1,,,Indian,·,GWW4+PM5,,,Dine-in,,,,,,
Kotha PULLAKkA GARI Lalitha,5.0,-1,,,Food court,·,"236, near Chicken Biryani",,,"""Land by house building""",,,,,,
Madeena Net Point,,,,,Internet cafe,·,College Rd,,,,,,,,,
GANESH BAKERY &SWEETS,5.0,-1,,,Bakery and Cake Shop,·,FRG5+H78,Open,· Closes 9:30 pm,On the menu:,,cafes,,,,
Babu hotel,5.0,-5,,,Restaurant,·,HQ2F+VMG,Open,· Closes 9:30 pm,Dine-in,,,,,,
BANGARPET CHATS ZONE,,,,,Coffee shop,·,"MW5W+V5W, Kadapa - Chittoor Hwy, opposite Sana Restaurant",,,,,,,,,
Tea Cafe,,,,,Cafe,·,"Punganur - Tirupathi Rd, near Bustand",,,Dine-in,,,,,,
Aruna Tiffin's,,,,,Breakfast,·,"bus stand, Old, Sadum Rd",,,,,,,,,
Gurrappaswamy Tiffin Center,5.0,-3,,,Breakfast,·,1,,,,,,,,,
Chai duniya,,,,,Coffee shop,·,"9RP9+7HW, Somala - Peddaupparapalli Rd",,,,,,,,,
Swamy Hotel,3.8,-41,,,Indian,·,"near, Bazaar street, near Ramalayam",,,,,,,,,
