qBF1Pd,MW4etd,UY7F9,AJB7ye,AJB7ye 2,W4Efsd,W4Efsd 2,W4Efsd 3,W4Efsd 4,W4Efsd 5,ah5Ghc,M4A5Cf,ah5Ghc 2,M4A5Cf 2,ah5Ghc 3
Ansar Tea Cafe,4.2,-68,,,Cafe,·,PMG5+P68,Open 24 hours,,"""Kasim super hero""",,,,
Star cafe,4.5,-34,·,?1200,Cafe,·,"Amaravathi - Krosuru Rd, opp. tdp office",Open,· Closes 10 pm,Dine-in,·,Takeaway,·,No delivery
Tea dot com kommadi,4.3,-69,·,?1200,Cafe,·,"Sri rajeshwari residency, Kommadi Rd",Open,· Closes 9 pm,Takeaway,,,,
GIMSR Cafe,3.7,-67,·,?200400,Coffee shop,·,"Q9MF+JC5, GITAM Medical College Rd",,,Dine-in,·,Takeaway,,
Café Delite,4.1,-44,,,Cafe,·,"6-9/9, beside Durga Theatre",Open,· Closes 11 pm,Dine-in,·,Takeaway,·,Delivery
Babalu Coffee Hotel,4.6,-17,·,?1200,Coffee shop,·,JX54+6VG Babalu Tiffins,,,Dine-in,,,,
Stories hangout cafe,4.2,-68,·,?200400,Cafe,·,Q9VM+2JH it junction,Closed,· Opens 1 pm,Dine-in,·,Takeaway,·,No-contact delivery
SVS CAFE,4.9,-10,,,Coffee shop,·,"WH4J+R8P, Chintalacheruvu - Nagireddy Palle Rd",,,Dine-in,·,Takeaway,·,Delivery
Suri Tea,4.4,-136,·,?1200,Cafe,·,94G7+94C,Open,· Closes 7 pm,Drive-through,,,,
Gitam Talent Cafe,4.4,-12,·,?1200,Coffee shop,·,Q9JG+CX5,,,Dine-in,·,Takeaway,,
Tea Palace,4.5,-46,·,?1200,Cafe,·,Radha complex,Open,· Closes 10 pm,Dine-in,·,Drive-through,·,No delivery
Chinnari restaurant,4.1,-20,,,Coffee shop,·,AH45,,,Dine-in,·,Takeaway,,
RUMMY CAFE,4.8,-5,,,Coffee shop,·,W652+G57,Open 24 hours,,Dine-in,,,,
Dwarakamayi Cool Point,5.0,-4,,,Cafe,·,"R8CW+77W, Revallapalem Street Number 9",Open,· Closes 4:15 pm,,,,,
.,4.3,-16,·,?1800,Coffee shop,·,"PWJ4+W9J, SH 28",,,Dine-in,·,Takeaway,·,Delivery
Rafi T stall,4.6,-15,,,Coffee shop,·,CV5J+P3P,,,Drive-through,,,,
AMMA'S FILTER COFFEE (COTHAS COFFEE),4.2,-53,·,?1200,Coffee shop,,,Open 24 hours,,Dine-in,·,Takeaway,,
GRACE CONTINENTAL ITALIAN CAFE,4.3,-84,,,Takeout restaurant,·,"Axis Bank ATM, mvv homes, opposite Master Fellowship church, beside Madhurawada",Open,· Closes 10:30 pm,Drive-through,·,No-contact delivery,,
Chai treat,5.0,-5,,,Coffee shop,·,"51, Kommadi Rd",,,"""Cozy seating, atmosphere and friendly staff made it ideal for students;""",,,,
Kalam's Cafe,4.2,-18,,,Cafe,·,"294J+H65, Vajrakarur Village Rd",Open 24 hours,,Dine-in,,,,
SriSailam Coffee Cafe,4.4,-122,·,?1200,Coffee shop,·,NH 44,Closed,· Opens 3 pm,Dine-in,·,Drive-through,,
Chennapatnam Filter Coffee | PM PALEM,3.0,-2,,,Coffee shop,·,"Ground Floor, D No. 7-85/12, Revallapalem Rd",Open,· Closes 9 pm,Dine-in,,,,
Cafe Rio,4.0,-27,·,??,Cafe,·,"Altius Villas, IT-SEZ road",Opens soon,· 11 am,Dine-in,·,Takeaway,,
Arif Tea Stall,4.3,-32,,,Cafe,·,PH9C+QMX,Open,· Closes 8 pm,Dine-in,·,Drive-through,·,No-contact delivery
Royal chai cafe,4.2,-15,·,?1200,Coffee shop,·,PHH9+922,Open,· Closes 10 pm,Dine-in,·,Takeaway,,
TEA MAGIC,5.0,-3,,,Coffee shop,·,"R9F2+988, Madhurawada KOMMADI, junction, near Sai Baba Temple",Open,· Closes 12 am,Dine-in,·,Takeaway,,
7 cafe,4.6,-50,·,?1200,Bakery and Cake Shop,·,JQ6P+RJ6,,,Dine-in,·,Drive-through,,
Vikky's Cafe & Bistro,3.9,-26,·,?1600,Cafe,·,"Door no 3, 120",Closed,· Opens 12 pm,Dine-in,·,Takeaway,·,Delivery
Ramaswamy filter coffee,4.5,-19,·,?1200,Coffee shop,·,2GF8+HG,,,Takeaway,,,,
MAMATHA CAFE,3.3,-6,,,Cafe,·,"QVPP+R9F, Ravulapalem - Mandapeta Rd",Open,· Closes 10 pm,Dine-in,,,,
Crazy Cafe,5.0,-3,,,Coffee shop,,,Closed,· Opens 5 am Tue,Dine-in,·,Drive-through,·,Delivery
Amma Vanta Restaurant,5.0,-17,·,?200400,Chinese,·,R9G4+95H,,,"""Excellent food with reasonable price""",,,,
Lassi n Shakes,4.8,-25,·,?1200,Cafe,·,"DNo: 9-138/7 Teachers Layout, Kommadi Rd, near Gayatri Womens College",Open,· Closes 10 pm,Dine-in,·,Drive-through,·,No-contact delivery
AMRUTHA FOOD COURT,4.9,-56,,,Food court,·,"chaitanya college road, Kommadi Rd, opposite coastal bank",Open,· Closes 10 pm,Dine-in,·,Takeaway,,
Sunway Cafe,5.0,-1,,,Cafe,·,near carte line,Open,· Closes 11 pm,Dine-in,·,Kerbside pickup,·,Delivery
Akira Coffee Cafe,5.0,-5,,,Coffee shop,·,"74C4+C4X, Railway Station Rd",Open,· Closes 9:30 pm,Dine-in,,,,
SRI MALLESHWARA SWAMY TEA & COOL DRINKS,4.7,-3,,,Coffee shop,,,Open,· Closes 10 pm,Dine-in,,,,
Mr 18 Coffee Cafe,3.8,-4,,,Coffee shop,·,2XCV+CGV,,,Dine-in,,,,
RCB CAFE,4.5,-24,·,?1200,Bakery and Cake Shop,·,5JJH+RP4,,,"""Good for coffee break
Has printer email and lamination also""",,,,
Ali's cafe,4.9,-7,·,?1200,Coffee shop,,,Open,· Closes 8 pm,Dine-in,·,Drive-through,,
Varahi cafe,3.4,-5,,,Coffee shop,·,6457+53J,Open,· Closes 7:30 pm,Dine-in,,,,
Harika Tiffins,5.0,-1,,,Tiffin center,·,"Gandhinagar, junction",Closes soon,· 11 am · Opens 7 am Tue,"""Nice taste and reasonable prices Totally Nice ??""",,,,
Perusomuala (TEA) Cafe,4.2,-31,,,Cafe,·,3674+638,Open now,,Drive-through,·,Delivery,,
Dolphin ?? cafe,5.0,-6,,,Cafe,·,near venketeshwara Swami temple,Open,· Closes 10:30 pm,Dine-in,,,,
Sd.Sharief Cool Drink Shop,5.0,-9,,,Restaurant,,,Open 24 hours,,Dine-in,,,,
Naidu tiffen center Bun tea cafe,3.5,-11,·,?1200,Coffee shop,·,Kurnool - Chittoor Nat'l Hwy,Open,· Closes 9 pm,Dine-in,·,Takeaway,,
FRIENDS CAFE,5.0,-2,,,Coffee shop,·,"64FF+8GX, opposite to St Mary's school",Open 24 hours,,Dine-in,,,,
Amma Kitchen,3.2,-22,·,?1200,Restaurant,·,R8CW+93F,Open 24 hours,,Dine-in,·,Takeaway,·,Delivery
SRI SRUTHI SWAGRUHA FOODS & SNACKS,5.0,-1,,,Cafe,·,Madhurawada,Open,· Closes 10 pm,Takeaway,,,,
SR's Taste Well Fast Foods,4.3,-29,·,?200400,Restaurant,·,"double road, beside costal bank",Open,· Closes 10:30 pm,Dine-in,·,Takeaway,·,Delivery
Siva Reddy Coffee And Tea Stall,5.0,-2,,,Coffee shop,·,"Siva Reddy Coffee And Tea Stall, Adhanki Road, near Masjid",,,Dine-in,,,,
Kittu tea & tiffins,4.8,-4,,,Coffee shop,·,V4PM+VH2 State Highway 362,,,Dine-in,,,,
Venky's tea,5.0,-3,,,Coffee shop,·,"R9F3+PG3, Kommadi 100 Feet Rd",Open now,,Dine-in,·,Takeaway,,
R.K.filter coffee,4.1,-21,,,Coffee shop,·,"CBR COMPLEX, 12",Open now,,Dine-in,·,Takeaway,,
SVL FRUIT JUICES & MILKSHAKES,4.2,-89,·,?1200,Juice,·,"Vasanth Vihar, Sree chaitanya college Road Near",Open,· Closes 10 pm,Takeaway,·,No-contact delivery,,
Urban Treats - Ruchi Family Restaurant,3.7,-866,·,?200400,Restaurant,·,"10-14/2,kommadi junction",Closed,· Opens 12 pm,Dine-in,·,Drive-through,·,No-contact delivery
Tea kahani,5.0,-3,,,Coffee shop,·,"NH 40 Venkatapuram road Near srivella, beside vasavi hotel, 518563",Open,· Closes 12 am,Dine-in,·,Drive-through,,
Spicee Paradise,4.9,-11,,,Dessert shop,·,Spicee Paradise,Closed,· Opens 11:30 am,Delivery,,,,
Dawarakamai Hostel-1,4.3,-4,,,Cafe,·,"R89V+P6Q, Brahmagupta, Kommadi Rd",,,Dine-in,,,,
Royal Tea Subhani,4.3,-13,,,Cafe,,,,,,,,,
Chai wala,4.4,-5,,,Coffee shop,·,JJ64+V3,Open 24 hours,,Dine-in,·,Takeaway,,
Eaters Stop | Restaurant | Kommadi | Madhurawada,4.6,"-3,097",·,"?2001,200",Restaurant,·,"STBL Theatres, Besides, near, Kommadi Junction",Open,· Closes 11 pm,Dine-in,·,Drive-through,·,No-contact delivery
Mr Chai,4.3,-9,·,?200400,Coffee shop,·,8PJ9+P4,Open,· Closes 11 pm,Dine-in,·,Takeaway,,
VARMA GARI VANTILLU,5.0,-26,·,?1200,Restaurant,·,"WARD NO 5, D NO 2, Kommadi Rd",Opens soon,· 11 am,Dine-in,·,Takeaway,,
Food Bus,4.0,-1,,,Fast Food,·,Kommadi Rd,,,,,,,
T F C TREETS FOOD COURT,4.0,"-1,771",·,?1800,Breakfast,·,·,Open,· Closes 11 pm,Dine-in,·,Takeaway,·,No-contact delivery
ASR cafe,5.0,-1,,,Coffee shop,·,92HQ+4MR,,,,,,,
Padmavathi kitchen,4.6,-71,·,?1200,Restaurant,·,"60, Revallapalem Rd, beside Srinivasa school",Closed,· Opens 7 pm,Dine-in,·,Takeaway,·,No-contact delivery
Sree Rama Cafe & Juices,,,,,Tea store,·,PP Rd,,,,,,,
Abhilash Tee & Tiffin,5.0,-1,,,Coffee shop,·,"H5FH+WJW, Kanuparthi Rd",Closes soon,· 11 am · Opens 6 am Tue,Dine-in,,,,
Coffe Bar,5.0,-4,,,Coffee shop,·,JJ64+V32,,,Dine-in,,,,
A.A. Cafe centre Jindal,3.0,-2,,,Coffee shop,·,636J+GF7,,,Dine-in,,,,
"CHINNA CAFE & MEE SEVA, THIMMANAYUNIPETA",4.7,-6,,,Internet cafe,·,Jammalamadugu - Tadipatri Rd,Open,· Closes 8 pm,On-site services,,,,
BeCafe,5.0,-2,,,Coffee shop,·,HJV6+5P,,,Dine-in,,,,
Vizag food corner,4.1,-26,·,?1200,Family-friendly,,,Closed,· Opens 12:30 pm,Dine-in,·,Kerbside pickup,,
Ruchi Punjabi Dhaba,4.9,-28,,,Restaurant,,,,,Dine-in,·,Drive-through,·,No-contact delivery
Mama's cafe Tasty trails and Chai bar,4.8,-5,·,?1200,Coffee shop,·,NH40,Open 24 hours,,Dine-in,·,Drive-through,·,No-contact delivery
Sri Annapurna Kshatriya food court,5.0,-2,,,Food court,·,"Road no 2, g c, plot no 36, beside m k vasathi",Open,· Closes 10 pm,"""Nice super quality food .sitting place is superb.""",,,,
TEA TIME,3.5,-8,,,Tea house,·,"1, Revallapalem Rd",Open,· Closes 9:15 pm,On the menu:,,cafes,,
?????? ?? & ???? ?????????,5.0,-1,,,Coffee shop,·,near ZP High school,,,,,,,
VIJAYAS FOOD PALACE,4.5,-22,·,?200400,Restaurant,·,double road,Closed,· Opens 11:30 am,Dine-in,·,Takeaway,,
Chill & Cool,5.0,-2,,,Ice Cream,·,"R9F3+GPV, Kommadi 100 Feet Rd",Open,· Closes 10 pm,,,,,
Rayalaseema vantillu,4.9,-7,·,?1200,Coffee shop,·,PP3R+8M,Open 24 hours,,Dine-in,·,Drive-through,,
Madhuri Juice Point &fastfood( revallapalem ),4.8,-6,,,Juice,·,"7-82, opp. ravallapalemAndhra, vishaka shoppy",Open now,,Takeaway,,,,
NAVEEN KONDRU,,,,,Restaurant,·,"SHOP NO. 1, 5/8, MAIN ROAD, near NAYARA PETROL BUNK",Open,· Closes 10 pm,Dine-in,,,,
"??? ???????,?????? ?????????",4.3,-10,,,Cafe,·,W8HM+JQH,,,"""GOOD DEDICATED WORK""",,,,
ARUNA TEA STALL AND COOL DRINKS,3.5,-2,,,Coffee shop,,,Open,· Closes 9:45 pm,Dine-in,·,Takeaway,,
ANNAPURNA TIFFINS,5.0,-2,,,Food court,·,Shop No 11,,,,,,,
Sainadh Mess,3.6,-54,·,?1200,Restaurant,·,7-142/3,Open,· Closes 10 pm,Dine-in,·,Takeaway,·,Delivery
Anish Cooldrinks & Teastall,5.0,-6,,,Coffee shop,·,HP6C+WGW,,,Dine-in,,,,
Tagore hotel,4.7,-3,,,Coffee shop,·,6469+2C6,,,"""Budget hotel""",,,,
??????? ?? ??????,5.0,-1,,,Coffee shop,·,"9HH4+H5Q, 4-55, near Issukapalle",,,,,,,
Cake zone,4.3,-6,,,Bakery and Cake Shop,·,R8GV+QX2,Open,· Closes 9:30 pm,On the menu:,,cafes,,
Sri Sairam Tiffins,3.2,-10,·,?1200,Restaurant,,,,,Dine-in,·,Takeaway,,
Kvn coffee,,,,,Coffee shop,·,5Q23+R9J,Open,· Closes 8:30 pm,Dine-in,,,,
Hemanth food factory,,,,,Restaurant,·,8-272/30,Closed,· Opens 3 pm,Dine-in,·,Kerbside pickup,·,No-contact delivery
Sri Chandras Cake N Cream,3.9,-680,·,?1800,Bakery and Cake Shop,·,·,Open,· Closes 10 pm,On the menu:,,cafes,,
SRI SAI FOOD CORNER,,,,,Food court,·,"Shop No 11, opp. Srinivasa Schools",Closed,· Opens 11:30 am Tue,,,,,
Hotel Imperia | Luxury rooms & Restaurant | Kommadi,4.9,-230,,,Restaurant,·,plot no 90 to 94,,,"""Peaceful ambience, friendly staffs""",,,,
Annapurna Coffee Cafe,4.0,-1,,,Cafe,·,"2-14/2, Tdp Road",,,Dine-in,·,Drive-through,,
Vijayawada home foods,4.0,-85,,,Sweet shop,·,"9-138/10,AU layout Near Vasanth Vihar, beside Apollo diagnostics kommadhi , madhurawada post :530048 Gayathri engg college road, kommadhi",Open,· Closes 10 pm,In-store shopping,·,In-store pick-up,·,Delivery
Dwarakamayi Food Court,,,,,Restaurant,·,"R8CW+767, Revallapalem Street Number 9",Open,· Closes 6:30 pm,Dine-in,·,Takeaway,,
IT'S MY TEA TIME,,,,,Cafe,·,Shop No 11,,,,,,,
