qBF1Pd,MW4etd,UY7F9,AJB7ye,AJB7ye 2,W4Efsd,W4Efsd 2,W4Efsd 3,W4Efsd 4,W4Efsd 5,W4Efsd 6,ah5Ghc,M4A5Cf,ah5Ghc 2,M4A5Cf 2,ah5Ghc 3,J8zHNe 2,bbPy1 2
Tara Café,4.9,-15,·,?1400,Coffee shop,·,"Q9VJ+798 Connecting Rd, Sriram Panorama Beach, Law College Rd",,Open,· Closes 11 pm,Dine-in,·,Takeaway,·,Delivery,,
Plan B Resto Cafe,4.3,-299,·,?200400,Cafe,·,1-90-15,,Open,· Closes 10 pm,Dine-in,·,Takeaway,·,No-contact delivery,Order online,?
Cha Kafe,4.6,-202,·,?1200,Cafe,·,"Shop no. 1, Cha Kafe, GVMC School, Chinna Waltair Main Rd, near Masjid, opp. Prince Apartments",,Open,· Closes 9:30 pm,Dine-in,·,Takeaway,·,No delivery,,
"Froozo Cafe, Visakhapatnam.",4.8,-82,·,?200400,Cafe,·,"39-8-13/1, 1st St",,Open,· Closes 11 pm,Dine-in,·,Takeaway,·,Delivery,Order online,?
CAFFEINE CUPS,4.7,-167,·,?1200,Coffee shop,·,·,"SHOP NO 6-A , APTDC FOOD COURT, INSIDE RUSHIKONDA BEACH, RUSHIKONDA BEACH",Open,· Closes 9:30 pm,Dine-in,·,Kerbside pickup,·,No-contact delivery,,
Bean Board - Chinna Waltair,4.4,"-1,469",·,?200400,Cafe,·,·,"#7-1-72, GF, Aaram Apts, Chinna Waltair Main Rd",Open,· Closes 8 pm,Dine-in,·,Takeaway,·,No-contact delivery,,
BTS RESTO CAFE,4.4,-59,·,?200400,Cafe,·,"Q9V19, +2TH IT junction, Near IT setz junction",,Open,· Closes 11 pm,Dine-in,·,Drive-through,·,No-contact delivery,Order online,?
Pawffe  Pet Friendly Restaurant & Cafe,4.4,-253,·,"?2001,200",Cafe,·,"2-91, Beach Rd",,Open,· Closes 12 am,Dine-in,·,Kerbside pickup,·,Delivery,Order online,?
Chennapatnam Filter Coffee,4.1,"-1,174",·,?1200,Coffee shop,·,·,"D-no 6-7, Q9MM+V4J Surendra House, Endada Rushikonda Rd",Open,· Closes 9 pm,Dine-in,·,Drive-through,·,No-contact delivery,,
Gluttons Garage,4.0,"-2,387",·,"?2001,000",Cafe,·,·,"7-5-182, Beach Rd, beside Aqua Sports Complex",Open,· Closes 10 pm,Dine-in,·,Kerbside pickup,·,No-contact delivery,Order online,?
Simple Café,4.7,-122,·,?200400,Cafe,·,"Door No: 12-68, Ground Floor, Main Rd, near Shivalayam Temple",,Open,· Closes 10 pm,Dine-in,·,Drive-through,·,No-contact delivery,Order online,?
EXULT COFFEE HOUSE,4.6,-27,·,?1800,Coffee shop,·,"3-61/11, 100 Feet Rd, opp. SUN FLOWER SCHOOL",,Open,· Closes 10 pm,Dine-in,·,Kerbside pickup,,,,
Caffeine Street,4.5,-77,,,Cafe,·,Oota Gadda Rd,,Open,· Closes 10 pm,Dine-in,·,Takeaway,·,No-contact delivery,,
Bean Board The Glitz,4.2,-302,·,?200400,Coffee shop,·,NVP College Road,,Open,· Closes 10 pm,Dine-in,·,Takeaway,·,No-contact delivery,,
Starbucks,4.6,"-1,769",·,"?2001,200",Coffee shop,·,"Door No 47/3/27, Ground & 1st Floor 5th Lane, Premises Unit 1",Iconic coffeehouse chain,Open,· Closes 10 pm,Dine-in,·,Takeaway,·,No-contact delivery,Order online,?
Cafe Vizag,4.9,-7,,,Food court,·,39-22-50/4,,Open,· Closes 10 pm,Dine-in,·,Drive-through,,,,
Araku Coffee,4.3,-807,·,?1200,Coffee shop,,,,Open,· Closes 8:30 pm,Dine-in,·,Takeaway,·,No-contact delivery,,
Café Coffee Day,4.0,"-2,453",·,?200400,Cafe,·,·,"Ward No. 18, Ground Floor Door No. 7, 5-1, Ward",Open,· Closes 11 pm,Dine-in,·,Takeaway,·,No-contact delivery,Order online,?
Pastry Coffee n' Conversation,4.1,-237,·,?1600,Cafe,·,"Shop 21, Siripuram Cir",,Open,· Closes 11 pm,Dine-in,·,Takeaway,·,No-contact delivery,Order online,?
The Writer's Room,4.1,-291,·,?400600,Cafe,·,·,Ramanaidu Studios Rd,Open,· Closes 9 pm,Dine-in,·,Takeaway,,,Reserve a table,?
Kerala Filter Coffee,4.9,-27,·,?1200,Coffee shop,·,Q9RP+GPV,,Open,· Closes 8:30 pm,Takeaway,,,,,,
PINAKA CAFFE,4.7,-15,·,?200400,Cafe,·,"KALYANI ABODE, 9-170/1, opp. GVP WOMENS ENGINEERING COLLEGE",,Open,· Closes 10 pm,Dine-in,·,Kerbside pickup,·,Delivery,Order online,?
Costa Rica coffee,4.7,-21,·,?1200,Cafe,·,"Tenneti park, Costa Rica coffee, near jodugulla Palem",,Open,· Closes 10 pm,Takeaway,,,,,,
Café Coffee Day,4.1,"-1,660",·,?200400,Cafe,·,·,"Door No. 1-83-6 Plot No. 93/1, Ward No. 23",Open,· Closes 11 pm,Dine-in,·,Takeaway,·,No-contact delivery,Order online,?
Simhadri Coffee Cafe,4.3,-109,·,?1200,Coffee shop,·,"Sontyam, Checkpost",,Open,· Closes 9 pm,Dine-in,·,Drive-through,,,,
Coffee Bean Resto Café,4.2,-12,·,"?11,000",Coffee shop,·,"11-1890, KNP 2, Bheemili Beach Road, near Sun N Sea Resorts",,Open,· Closes 11 pm,Dine-in,·,Drive-through,·,No-contact delivery,,
Stories hangout cafe,4.2,-68,·,?200400,Cafe,·,Q9VM+2JH it junction,,Closed,· Opens 1 pm,Dine-in,·,Takeaway,·,No-contact delivery,,
cozy corner cafe,4.8,-21,·,?1200,Cafe,,,,,,Dine-in,·,Kerbside pickup,·,No-contact delivery,,
IT'S TIME TO COFFEE WITH FAG,4.3,-14,,,Coffee shop,·,68,,Open now,,Dine-in,·,Takeaway,,,,
Thanjavuru Filter Coffee - Visakhapatnam,4.6,-51,·,?1200,Cafe,·,"Srisurya (miraj) theater Line, D No : 43-29-17/1, Railway New Colony Rd, opp. Varun Bajaj Showroom",,Open,· Closes 9 pm,On-site services,,,,,,
The Coffee Bar your's next stop,4.9,-14,,,Coffee shop,·,"Town Kotha Rd, beside street",,Open,· Closes 10:30 pm,No delivery,,,,,,
YESPRESSO,4.4,-134,·,?200400,Coffee shop,·,"60 Feet Rd, opp. Radison blu",,Closed,· Opens 5 pm,Dine-in,·,Drive-through,·,No-contact delivery,,
Cafein,5.0,-45,·,?200400,Restaurant,·,·,"Itsez, Beach Rd",Open,· Closes 10 pm,Dine-in,·,Kerbside pickup,·,No-contact delivery,Order online,?
Tea dot com kommadi,4.3,-69,·,?1200,Cafe,·,"Sri rajeshwari residency, Kommadi Rd",,Open,· Closes 9 pm,Takeaway,,,,,,
Hut Arabica,4.4,-200,·,?1200,Cafe,·,P8GQ+8F3,,Open,· Closes 9:30 pm,Dine-in,·,Takeaway,,,,
Morning Coffee,4.5,-2,,,Cafe,·,near Vijetha Super market,,Open,· Closes 10 pm,Dine-in,·,Takeaway,·,Delivery,,
"Bengaluru Cafe, Visakhapatnam",4.1,-25,·,?1200,Breakfast,·,"20DUD172, 20DUD172",,,,Dine-in,,,,,Order online,?
New Bharat Cafe,4.3,-28,·,?1200,Cafe,·,Allipuram Karnala Street Opposite Gokul Theatre,,Open,· Closes 10:15 pm,Dine-in,·,Delivery,,,Order online,?
GATOS Cafe,4.2,-10,,,Coffee shop,·,"Out Gate City, Bus Stop, A.U, Chinna Waltair Main Rd",,,,Dine-in,·,Takeaway,,,,
Veux Gourmet Eatery,4.1,-160,·,"?4001,200",Restaurant,·,"P17, behind Waltair club",,Open,· Closes 10:30 pm,Dine-in,·,Takeaway,·,No-contact delivery,Order online,?
Coffee Beans Cafe,5.0,-9,,,Coffee shop,·,P885+M8M,,Open,· Closes 10 pm,Dine-in,,,,,Order online,?
GIMSR Cafe,3.7,-67,·,?200400,Coffee shop,·,"Q9MF+JC5, GITAM Medical College Rd",,,,Dine-in,·,Takeaway,,,,
District 12 Resto Cafe,4.3,"-1,418",·,?200600,Continental restaurant,·,·,"7-5-138, Panduranga Swamy Temple Rd",Opens soon,· 11:30 am,Dine-in,·,Takeaway,·,No-contact delivery,Order online,?
Café Delite,4.1,-44,,,Cafe,·,"6-9/9, beside Durga Theatre",,Open,· Closes 11 pm,Dine-in,·,Takeaway,·,Delivery,,
PALNADU CAFE,5.0,-2,,,Coffee shop,·,Q9VM+2JH,,,,Dine-in,,,,,,
Vikky's Cafe & Bistro,3.9,-26,·,?1600,Cafe,·,"Door no 3, 120",,Closed,· Opens 12 pm,Dine-in,·,Takeaway,·,Delivery,Order online,?
Gitam Talent Cafe,4.4,-12,·,?1200,Coffee shop,·,Q9JG+CX5,,Open now,,Dine-in,·,Takeaway,,,,
Drive Inn - The Juicy Cafe,4.8,-19,,,Juice,·,·,"D.no. 2-70, Boyapalem Junction, behind Bus stop",Open,· Closes 9 pm,Dine-in,·,Drive-through,·,Delivery,,
Dine Destiny Fine Dining Restaurant,4.0,-648,·,"?2001,400",Fine Dining,·,·,"Hotel Ocean Vista Bay,Cricket Academy, Beach Rd",Open,· Closes 11 pm,Dine-in,·,Drive-through,·,No-contact delivery,Order online,?
Cafe Rio,4.0,-27,·,??,Cafe,·,"Altius Villas, IT-SEZ road",Counter-serve chain for Mexican fare,Open,· Closes 11 pm,Dine-in,·,Takeaway,,,,
Lassi n Shakes,4.8,-25,·,?1200,Cafe,·,"DNo: 9-138/7 Teachers Layout, Kommadi Rd, near Gayatri Womens College",,Open,· Closes 10 pm,Dine-in,·,Drive-through,·,No-contact delivery,Order online,?
TEA MAGIC,5.0,-3,,,Coffee shop,·,"R9F2+988, Madhurawada KOMMADI, junction, near Sai Baba Temple",,Open,· Closes 12 am,Dine-in,·,Takeaway,,,,
Coffee Day Fresh 'n Ground,4.3,-16,·,??,Coffee shop,·,"Andhra bank(union bank, PM Palem Main Road, opposite road",,,,Takeaway,,,,,,
Dwarakamayi Cool Point,5.0,-4,,,Cafe,·,"R8CW+77W, Revallapalem Street Number 9",,Open,· Closes 4:15 pm,,,,,,,
Sunway Cafe,5.0,-1,,,Cafe,·,near carte line,,Open,· Closes 11 pm,Dine-in,·,Kerbside pickup,·,Delivery,,
Pineapple Cafe,4.1,-8,,,Cafe,·,Q82P+W6F,,Open,· Closes 6 pm,Takeaway,,,,,,
"DesignCafe Experience Centre, Vizag",4.8,-255,,,Interior designer,·,"2nd Floor, Opp. to Hotel Quality Inn Bez Krishna, Above BOB Asilmetta Branch Diamond Park, Junction, 1st Ln",,Closed,· Opens 10:30 am Tue,"""Design",,cafe,,"design and installation was good.""",,
Circars Bistro,4.2,-99,·,?400600,Bistro,·,"Sai Dakshita Complex, above flying spaghetti monster",,Closed,· Opens 12 pm,Dine-in,·,Kerbside pickup,·,No-contact delivery,Order online,?
VARMA GARI VANTILLU,5.0,-26,·,?1200,Restaurant,·,"WARD NO 5, D NO 2, Kommadi Rd",,Open,· Closes 11 pm,Dine-in,·,Takeaway,,,,
The box cafe vizag,4.0,-1,,,Fast Food,·,opp. Rani bomma 1,,Closed,· Opens 3:30 pm,Dine-in,·,Drive-through,,,,
Real Deepak Punjabi Dhaba,4.6,"-8,357",·,"?2001,200",Punjabi,,,,Open,· Closes 11 pm,Dine-in,·,Kerbside pickup,·,No-contact delivery,Order online,?
crispy bites- anime cafe,5.0,-8,·,?1400,Chinese,·,"Door No.26-15-34 Main Rd, A.V, N Rd",,Open,· Closes 10 pm,Dine-in,·,Takeaway,,,,
The gallery,4.2,-833,·,?1800,Cafe,·,·,"10-50-24, Waltair Main Rd",,,"""The coffe Named Cafe Mocha is soo good and one of the best in the city!!!""",,,,,,
GRAM CAFE,4.8,-29,·,?200400,Coffee shop,·,·,"Vuda Colony, Vuda Colony 39/33/157, LIG 100, near Vinayaka Temple",,,"""The flavors were well-balanced, and the quality was excellent.""",,,,,,
PALGHAT COFFEE,4.0,-8,,,Market,·,Dondaparthy,,Open,· Closes 1 pm · Reopens 4 pm,"""Wonderfull authentic coffee and very friendly shop owner""",,,,,,
Horizon Restaurant,4.3,"-1,936",·,???,Restaurant,·,·,"7th floor, Dolphin Hotel, 75 Feet Road, Daba Garden Rd",Closed,· Opens 12 pm,Dine-in,·,Takeaway,·,No-contact delivery,Reserve a table,?
Chill & Cool,5.0,-2,,,Ice Cream,·,"R9F3+GPV, Kommadi 100 Feet Rd",,Open,· Closes 10 pm,,,,,,,
Vizag food corner,4.1,-26,·,?1200,Family-friendly,,,,Closed,· Opens 12:30 pm,Dine-in,·,Kerbside pickup,,,Order online,?
Coimbatore Filter Coffee,4.6,-56,·,?1200,Coffee shop,·,"Besides Laddu Gopal Sweets, Door no:1-83-23/1, Sector-5, MVP Colony, L B Colony TTD Kalyana madapam, road",,,,"""Good open atmosphere good quality coffee filter ? & snacks.""",,,,,,
The Instant Munch,5.0,-1,,,Food court,·,Town Kotha Rd,,Open 24 hours,,"""Best place for fast foods and snaks,""",,,,,,
Vijayawada home foods,4.0,-85,,,Sweet shop,·,"9-138/10,AU layout Near Vasanth Vihar, beside Apollo diagnostics kommadhi , madhurawada post :530048 Gayathri engg college road, kommadhi",,Open,· Closes 10 pm,In-store shopping,·,In-store pick-up,·,Delivery,,
The Secret Garden - Restaurant | Photostudio | Patio | Dhaba,4.5,"-1,858",,,Restaurant,·,·,"VISHWANADH SPORTS CLUB, beside National Highway",,,"""Highly recommend for anyone looking for great food and a relaxed vibe!""",,,,,,
Mr Pizza,4.0,-80,·,?1200,Pizza,·,100 Feet Rd,,Closed,· Opens 3:30 pm,Dine-in,·,Drive-through,·,No-contact delivery,Order online,?
Biswajit,,,,,Coffee shop,·,"Cifnet Hostel, Beach Rd",,,,,,,,,,
Hotel Muntaj,3.9,"-5,122",·,?200400,Family-friendly,,,,Opens soon,· 11:30 am,Dine-in,·,Drive-through,·,No-contact delivery,Order online,?
Rao's Biryani House,3.1,-13,·,?200400,Biryani,,,,Opens soon,· 11:30 am,Dine-in,·,Takeaway,·,Delivery,Order online,?
Vizagapatam Family Restaurant,4.1,-26,,,Family-friendly,·,M7XX+2H3,,Open,· Closes 11 pm,Dine-in,·,Takeaway,,,,
City Net Cafe,4.1,-20,,,Internet cafe,·,"D No.21-32-13, Kotha Road,Town Kotha Road, Beside Mothers School",,Open,· Closes 9 pm,,,,,,,
Bismillah fast food & Biryani,4.1,-19,·,?1200,Biryani,·,"R88X+VG7, Bakkanapalem Rd",,,,Dine-in,·,Takeaway,,,Order online,?
Sri Annapurna Kshatriya food court,5.0,-2,,,Food court,·,"Road no 2, g c, plot no 36, beside m k vasathi",,Open,· Closes 10 pm,"""Nice super quality food .sitting place is superb.""",,,,,,
Dwarakamayi Food Court,,,,,Restaurant,·,"R8CW+767, Revallapalem Street Number 9",,Open,· Closes 6:30 pm,Dine-in,·,Takeaway,,,,
Sakhi Non Veg Pickles,4.9,-8,,,Non Vegetarian Restaurant,·,"Anand Gokulam, Teacher's layout, 301, Kommadi Rd",,Open,· Closes 10 pm,Drive-through,·,No-contact delivery,,,Order online,?
Chickenish,4.9,-23,·,?1200,Chicken,·,"22-72-1/A, Chatraju St",,Open,· Closes 10 pm,Delivery,,,,,Order online,?
Skml tiffins center,4.8,-6,,,Breakfast,·,"25, Town Kotha Rd",,Closes soon,· 12 pm · Reopens 5 pm,Dine-in,·,Takeaway,,,,
Palm Beach Hotel,4.2,"-9,321",,,4-star hotel,Relaxed hotel with bay views & dining,,,,,"""Pros:
Great location, helpful staff, loved the breakfast buffet!!""",,,,,,
"AMUL ICE CREAM,SKML NILAYAM",4.7,-31,,,Ice Cream,·,"VASANTHA RAO STREET, 22-69-2, Reading Room, Town Kotha Rd",,Open,· Closes 10:30 pm,In-store shopping,,,,,,
Palm Beach Hotel,4.2,"-9,321",,,4-star hotel,·,"Beach Road Near Vuda Park, 505, Beach Rd",Relaxed hotel with bay views & dining,,,"""Pros:
Great location, helpful staff, loved the breakfast buffet!!""",,,,,,
"AMUL ICE CREAM,SKML NILAYAM",4.7,-31,,,Ice Cream,·,"VASANTHA RAO STREET, 22-69-2, Reading Room, Town Kotha Rd",,Open,· Closes 10:30 pm,In-store shopping,,,,,,
Snm Bakery,3.9,-18,,,Bakery and Cake Shop,·,·,Town Kotha Rd,Open,· Closes 10:30 pm,Delivery,,,,,,
NFC fried chicken,5.0,-46,·,?200800,Fried Chicken,·,"P72W+QM3, Town Kotha Rd",,Open,· Closes 11 pm,Takeaway,,,,,,
Sri Pravallika Parlour,4.2,-47,·,?1200,Fast Food,·,"26-15-17, Kotha Road, Main Road",,Open,· Closes 10 pm,Dine-in,·,Drive-through,,,,
Sai Ram Ice cream Parlour,5.0,-1,,,Ice Cream,·,"141, Road Side, behind Ashta Lakshmi Temple Drive",,,,,,,,,,
Sri Vasavi Tiffins,4.3,-7,,,Breakfast,·,"25-8-219, Town Kotha Rd",,Open,· Closes 10 pm,Delivery,,,,,,
Cake My Day,4.9,-16,,,Bakery and Cake Shop,·,"23-1-36/1, Town Hall St, opposite VISWABRAHMIN COMMUNITY HALL",,,,On the menu:,,cafes,,,Order online,?
OpenCafé,,,,,Cafe,·,R936+C65,,,,,,,,,,
Taj Mahal Hotel,3.6,-51,,,Restaurant,·,"D.No. 30-15-195, 75 Feet Rd, Opposite Hotel Dolphin",,Open,· Closes 11 pm,Dine-in,·,Takeaway,,,,
"Nagamani Skml Juice , Fruits & Milk Shake",5.0,-1,,,Juice,·,"26-15-17, Town Kotha Rd",,Open now,,Dine-in,,,,,,
Royal juice bar,4.2,-5,·,?1200,Juice,·,25-8-80/1,,Open,· Closes 10 pm,Dine-in,,,,,,
Bismillah Biryani Centre,4.3,-71,·,?200400,Biryani,,,,Open,· Closes 3:30 pm · Reopens 6 pm,Dine-in,·,Kerbside pickup,,,,
Rama Tea Stall,1.0,-1,,,Coffee shop,·,"R8HV+HH2, Bhakta Ramadasu Road, Kommadi Rd",,,,,,,,,,
Naaz biryani centre,5.0,-1,,,Biryani,·,near big punja,,Closed,· Opens 11 am Tue,Kerbside pickup,,,,,,
Hotel Daspalla,4.2,"-19,164",,,4-star hotel,·,28-02-1948,Casual lodging with a pool & dining,,,"""the staff was friendly, the food was good, the ambience was clean and great.""",,,,,,
Madras Filter Coffee - Kalaparru,4.2,"-1,649",·,?1200,Coffee shop,·,tollgate,,Open,· Closes 11:30 pm,Dine-in,·,Drive-through,·,No delivery,,
Friends Tea Stall,3.9,-24,,,Fast Food,·,P72X+HFR,,,,,,,,,,
Chandu Computers & Graphics,5.0,-781,,,Gift shop,·,·,"26-15-12/3, Near: Town Kottaroad, Opp: The Visakhapatnam Co- Operative Bank, Beside: DhanaLakshmi Jewellers, Visakhapatnam-01. 9948154326, town Kotharoad, 77 94943993, 8121290903",Open,· Closes 9:30 pm,In-store pick-up,·,Delivery,,,,
My Pizza,4.8,-142,·,?200400,Pizza Takeout,·,"Mother English medium high ,school, Town Kotha Rd",,,,"""Super duper testy ????""",,,,,,
