"route_id,source_area,temple_name,temple_area,nearest_bus_stop,bus_number,bus_type,major_stops,distance_km,estimated_duration,ticket_price,first_bus,last_bus,frequency_minutes,walking_distance_from_stop_km,tourist_friendly,description"
"VZT000001,Gajuwaka,Shri Kanaka Maha Lakshmi Temple,One Town,Kurupam Market,28,APSRTC Special,""Gajuwaka, RTC Complex, One Town"",46.3,2 hr 23 mins,Rs.35,05:30,22:00,30,0.6,No,""APSRTC 28 from Gajuwaka to Shri Kanaka Maha Lakshmi Temple at One Town. Via Gajuwaka, RTC Complex, One Town. Distance ~46.3 km, approx 2 hr 23 mins."""
"VZT000002,Kommadi,Shri Kanaka Maha Lakshmi Temple,One Town,Kurupam Market,39K,APSRTC Special,""Kommadi, RTC Complex, One Town"",38.0,1 hr 59 mins,Rs.35,05:30,22:00,30,0.6,No,""APSRTC 39K from Kommadi to Shri Kanaka Maha Lakshmi Temple at One Town. Via Kommadi, RTC Complex, One Town. Distance ~38.0 km, approx 1 hr 59 mins."""
"VZT000003,Madhurawada,Shri Kanaka Maha Lakshmi Temple,One Town,Kurupam Market,99,APSRTC Special,""Madhurawada, RTC Complex, One Town"",42.7,2 hr 13 mins,Rs.35,05:30,22:00,30,0.6,No,""APSRTC 99 from Madhurawada to Shri Kanaka Maha Lakshmi Temple at One Town. Via Madhurawada, RTC Complex, One Town. Distance ~42.7 km, approx 2 hr 13 mins."""
"VZT000004,PM Palem,Shri Kanaka Maha Lakshmi Temple,One Town,Kurupam Market,99PM,APSRTC Special,""PM Palem, RTC Complex, One Town"",47.0,2 hr 26 mins,Rs.35,05:30,22:00,30,0.6,No,""APSRTC 99PM from PM Palem to Shri Kanaka Maha Lakshmi Temple at One Town. Via PM Palem, RTC Complex, One Town. Distance ~47.0 km, approx 2 hr 26 mins."""
"VZT000005,MVP Colony,Shri Kanaka Maha Lakshmi Temple,One Town,Kurupam Market,29,Semi-Express,""MVP Colony, RTC Complex, One Town"",15.9,52 mins,Rs.25,05:30,22:00,20,0.6,No,""APSRTC 29 from MVP Colony to Shri Kanaka Maha Lakshmi Temple at One Town. Via MVP Colony, RTC Complex, One Town. Distance ~15.9 km, approx 52 mins."""
"VZT000006,Siripuram,Shri Kanaka Maha Lakshmi Temple,One Town,Kurupam Market,29S,City Express,""Siripuram, RTC Complex, One Town"",14.1,47 mins,Rs.20,05:30,22:00,20,0.6,No,""APSRTC 29S from Siripuram to Shri Kanaka Maha Lakshmi Temple at One Town. Via Siripuram, RTC Complex, One Town. Distance ~14.1 km, approx 47 mins."""
"VZT000007,Dwaraka Nagar,Shri Kanaka Maha Lakshmi Temple,One Town,Kurupam Market,29D,City Express,""Dwaraka Nagar, RTC Complex, One Town"",12.8,43 mins,Rs.20,05:30,22:00,20,0.6,No,""APSRTC 29D from Dwaraka Nagar to Shri Kanaka Maha Lakshmi Temple at One Town. Via Dwaraka Nagar, RTC Complex, One Town. Distance ~12.8 km, approx 43 mins."""
"VZT000008,Maddilapalem,Shri Kanaka Maha Lakshmi Temple,One Town,Kurupam Market,28M,City Express,""Maddilapalem, RTC Complex, One Town"",13.9,46 mins,Rs.20,05:30,22:00,20,0.6,No,""APSRTC 28M from Maddilapalem to Shri Kanaka Maha Lakshmi Temple at One Town. Via Maddilapalem, RTC Complex, One Town. Distance ~13.9 km, approx 46 mins."""
"VZT000009,NAD Junction,Shri Kanaka Maha Lakshmi Temple,One Town,Kurupam Market,39,Semi-Express,""NAD Junction, RTC Complex, One Town"",28.6,1 hr 30 mins,Rs.35,05:30,22:00,30,0.6,No,""APSRTC 39 from NAD Junction to Shri Kanaka Maha Lakshmi Temple at One Town. Via NAD Junction, RTC Complex, One Town. Distance ~28.6 km, approx 1 hr 30 mins."""
"VZT000010,Seethammadhara,Shri Kanaka Maha Lakshmi Temple,One Town,Kurupam Market,28,City Express,""Seethammadhara, RTC Complex, One Town"",13.2,44 mins,Rs.20,05:30,22:00,20,0.6,No,""APSRTC 28 from Seethammadhara to Shri Kanaka Maha Lakshmi Temple at One Town. Via Seethammadhara, RTC Complex, One Town. Distance ~13.2 km, approx 44 mins."""
"VZT000011,Jagadamba,Shri Kanaka Maha Lakshmi Temple,One Town,Kurupam Market,28J,City Express,""Jagadamba, RTC Complex, One Town"",9.1,32 mins,Rs.15,05:30,22:00,15,0.4,No,""APSRTC 28J from Jagadamba to Shri Kanaka Maha Lakshmi Temple at One Town. Via Jagadamba, RTC Complex, One Town. Distance ~9.1 km, approx 32 mins."""
